date,total
2020-01-01,3
2020-01-08,2
2020-01-15,19
2020-01-22,25
2020-01-29,46
2020-02-05,16
2020-02-12,12
2020-02-19,16
2020-02-26,29
2020-03-04,237
2020-03-11,531
2020-03-18,1175
2020-03-25,1671
2020-04-01,1927
2020-04-08,1570
2020-04-15,1201
2020-04-22,1129
2020-04-29,1157
2020-05-06,836
2020-05-13,787
2020-05-20,535
2020-05-27,550
2020-06-03,413
2020-06-10,609
2020-06-17,672
2020-06-24,710
2020-07-01,632
2020-07-08,840
2020-07-15,945
2020-07-22,652
2020-07-29,721
2020-08-05,608
2020-08-12,698
2020-08-19,781
2020-08-26,999
2020-09-02,780
2020-09-09,1394
2020-09-16,2052
2020-09-23,1369
2020-09-30,1152
2020-10-07,2034
2020-10-14,1980
2020-10-21,2534
2020-10-28,1429
2020-11-04,3336
2020-11-11,2649
2020-11-18,2963
2020-11-25,1699
2020-12-02,2269
2020-12-09,2285
2020-12-16,3704
2020-12-23,2452
2020-12-30,3196
2021-01-06,3347
2021-01-13,4399
2021-01-20,5148
2021-01-27,5923
2021-02-03,4505
2021-02-10,7316
2021-02-17,6104
2021-02-24,7269
2021-03-03,7899
2021-03-10,8663
2021-03-17,8425
2021-03-24,9203
2021-03-31,9627
2021-04-07,9432
2021-04-14,10162
2021-04-21,8530
2021-04-28,8148
2021-05-05,7770
2021-05-12,6617
2021-05-19,6110
2021-05-26,5986
2021-06-02,6575
2021-06-09,5142
2021-06-16,5315
2021-06-23,6093
2021-06-30,7949
2021-07-07,9447
2021-07-14,10715
2021-07-21,13684
2021-07-28,15550
2021-08-04,19253
2021-08-11,16403
2021-08-18,19185
2021-08-25,19176
2021-09-01,20806
2021-09-08,23479
2021-09-15,17825
2021-09-22,15347
2021-09-29,19256
2021-10-06,17110
2021-10-13,16254
2021-10-20,16931
2021-10-27,19165
2021-11-03,22686
2021-11-10,23698
2021-11-17,21803
2021-11-24,21142
2021-12-01,24407
2021-12-08,24407
2021-12-15,27692
2021-12-22,29974
2021-12-29,36205
2022-01-05,32437
2022-01-12,28926
2022-01-19,32877
2022-01-26,27088
2022-02-02,28469
2022-02-09,27521
2022-02-16,23730
2022-02-23,21221
2022-03-02,21659
2022-03-09,25605
2022-03-16,22510
2022-03-23,18922
2022-03-30,13452
2022-04-06,12583
2022-04-13,10931
2022-04-20,11957
2022-04-27,9254
2022-05-04,8486
2022-05-11,8358
2022-05-18,8260
2022-05-25,7951
2022-06-01,7975
2022-06-08,8773
2022-06-15,9741
2022-06-22,9004
2022-06-29,9907
2022-07-06,10794
2022-07-13,9546
2022-07-20,8439
2022-07-27,7802
2022-08-03,6686
2022-08-10,5897
2022-08-17,5978
2022-08-24,4725
2022-08-31,4781
2022-09-07,5101
2022-09-14,5024
2022-09-21,5344
2022-09-28,4592
2022-10-05,5078
2022-10-12,4670
